"","X","Gender","GPA","ReligImp","MissClass","Seat","PartyDays","StudyHrs"
"492",498,"Male",3.64,"Fairly",0,"Front",4,30
"493",499,"Female",2.09,"Fairly",1,"Middle",6,5
"494",500,"Female",3.67,"Not",0,"Front",3,8
"495",501,"Female",3,"Fairly",1,"Middle",2,10
"496",502,"Female",3,"Not",1,"Middle",16,10
"497",503,"Female",3.3,"Fairly",1,"Back",12,6
"498",504,"Male",3.09,"Very",0,"Front",0,30
"499",505,"Female",3.65,"Fairly",2,"Middle",15,15
"500",506,"Male",3.19,"Not",5,"Back",15,10
"501",507,"Female",2.95,"Fairly",1,"Middle",6,10
"502",508,"Female",3.76,"Not",0,"Middle",2,20
"503",509,"Female",3.28,"Very",0,"Middle",0,48
"504",510,"Female",3.8,"Not",1,"Middle",7,15
"505",511,"Male",2.66,"Fairly",1,"Middle",14,9
"506",512,"Female",3.5,"Very",1,"Back",12,4
"507",513,"Female",3.6,"Very",1,"Front",2,13
"508",514,"Male",2.68,"Very",1,"Front",3,10
"509",515,"Female",3.38,"Fairly",1,"Middle",10,10
"510",516,"Female",3.5,"Fairly",2,"Middle",8,25
"511",517,"Female",3.21,"Very",1,"Middle",4,4
"512",518,"Female",3,"Fairly",0,"Middle",5,2
"513",519,"Male",2.5,"Very",1,"Middle",2,6
"514",520,"Female",3.15,"Fairly",0,"Front",8,20
"515",521,"Female",3.2,"Fairly",1,"Front",10,20
"516",522,"Female",3.17,"Very",1,"Middle",5,10
"517",523,"Male",3.41,"Very",0,"Middle",10,20
"518",524,"Female",3.1,"Fairly",1,"Middle",3,5
"519",525,"Female",3.3,"Not",1,"Middle",1,12
"520",526,"Female",3.14,"Fairly",1,"Middle",6,9
"521",527,"Male",2.9,"Fairly",2,"Middle",12,10
"522",528,"Male",2.8,"Fairly",2,"Middle",12,10
"523",529,"Male",3.51,"Very",0,"Front",1,21
"524",530,"Female",2.98,"Not",0,"Middle",0,5
"525",531,"Female",2.37,"Not",1,"Middle",1,10
"526",532,"Female",3.5,"Fairly",0,"Middle",10,10
"527",533,"Female",3.31,"Fairly",1,"Middle",2,4
"528",534,"Female",3.18,"Fairly",0,"Middle",10,10
"529",535,"Female",3.56,"Fairly",0,"Back",11,8
"530",536,"Male",3.5,"Not",4,"Middle",25,10
"531",537,"Female",3.2,"Not",0,"Middle",12,20
"532",538,"Female",2.94,"Not",1,"Middle",2,2
"533",539,"Male",3.6,"Very",0,"Front",0,15
"534",540,"Female",2.9,"Fairly",1,"Middle",8,10
"535",541,"Male",3.25,"Not",2,"Back",10,5
"536",542,"Male",2.18,"Not",1,"Middle",8,14
"537",543,"Male",3.03,"Not",1,"Middle",5,12
"538",544,"Male",3.36,"Very",0,"Middle",7,30
"539",545,"Female",3.8,"Fairly",0,"Back",5,18
"540",546,"Female",3.43,"Fairly",0,"Middle",2,15
"541",547,"Female",3.2,"Fairly",2,"Back",12,8
"542",548,"Female",2.96,"Fairly",5,"Back",12,10
"543",549,"Male",3.88,"Fairly",0,"Middle",2,35
"544",550,"Female",3.03,"Not",3,"Middle",12,8
"545",551,"Male",2.92,"Fairly",2,"Front",10,7
"546",552,"Male",3.01,"Fairly",0,"Middle",15,12
"547",553,"Female",3.43,"Fairly",0,"Front",4,20
"548",554,"Male",3.43,"Not",0,"Middle",16,10
"549",555,"Female",3.59,"Fairly",0,"Middle",7,45
"550",556,"Male",3.65,"Fairly",2,"Back",18,5
"551",557,"Female",3.4,"Not",0,"Back",6,10
"552",558,"Male",3.59,"Not",0,"Back",0,40
"553",559,"Male",3.33,"Fairly",1,"Middle",10,10
"554",560,"Male",3.6,"Fairly",1,"Middle",2,10
"555",561,"Female",3.1,"Not",1,"Middle",20,10
"556",562,"Female",3.36,"Fairly",0,"Middle",20,20
"557",563,"Male",2.4,"Fairly",1,"Back",0,2
"558",564,"Male",3.07,"Not",3,"Middle",18,5
"559",565,"Female",2.2,"Fairly",3,"Front",2,5
"560",566,"Female",3.16,"Not",0,"Back",12,6
"561",567,"Male",3.1,"Fairly",3,"Back",18,5
"562",568,"Female",3.1,"Fairly",6,"Front",4,30
"563",569,"Male",3,"Not",0,"Middle",15,5
"564",570,"Female",3.61,"Not",0,"Middle",5,20
"565",571,"Female",2.5,"Very",1,"Middle",3,5
"566",572,"Female",2.57,"Fairly",1,"Middle",16,10
"567",573,"Female",3.6,"Very",0,"Front",0,15
"568",574,"Male",3.71,"Fairly",0,"Middle",5,20
"569",575,"Female",3.1,"Not",1,"Middle",2,20
"570",576,"Female",3.94,"Not",0,"Middle",6,15
"571",577,"Female",3.4,"Very",1,"Middle",2,7
"572",578,"Female",3.11,"Very",0,"Middle",8,25
"573",579,"Male",3.8,"Fairly",1,"Middle",10,10
"574",580,"Female",3.27,"Fairly",0,"Front",2,5
"575",581,"Male",3,"Fairly",2,"Back",12,4
"576",582,"Female",2.9,"Very",0,"Middle",10,12
"577",583,"Male",3.6,"Not",0,"Middle",15,10
"578",584,"Male",3.55,"Not",1,"Middle",1,10
"579",585,"Male",3.1,"Fairly",0,"Middle",8,20
"580",586,"Female",3.52,"Very",0,"Middle",14,20
"581",587,"Female",3.19,"Fairly",0,"Front",1,10
"582",588,"Male",3.24,"Fairly",0,"Middle",10,8
"583",589,"Male",2.9,"Not",3,"Back",10,3
"584",590,"Female",3.4,"Not",1,"Middle",14,4
"585",591,"Female",3,"Fairly",0,"Middle",12,4
"586",592,"Male",2.67,"Not",1,"Front",0,4
"587",593,"Female",3.3,"Fairly",0,"Middle",8,10
"588",594,"Female",3.4,"Not",0,"Middle",15,20
"589",595,"Female",2.86,"Not",2,"Front",3,5
"590",596,"Male",2.8,"Not",1,"Middle",4,20
"591",597,"Male",3.2,"Not",0,"Front",15,5
"592",598,"Female",3.96,"Very",0,"Middle",2,30
"593",599,"Male",3.42,"Not",2,"Middle",12,2
"594",600,"Male",2.8,"Very",3,"Back",5,7
"595",601,"Female",3.82,"Not",0,"Front",1,20
"596",602,"Female",3.13,"Not",0,"Middle",10,12
"597",603,"Male",3,"Not",0,"Middle",13,16
"598",604,"Female",3.02,"Fairly",0,"Middle",2,25
"599",605,"Male",3.2,"Very",1,"Middle",10,2
"600",606,"Female",3.37,"Not",2,"Back",4,3
"601",607,"Male",3.36,"Fairly",2,"Middle",8,10
"602",608,"Female",3.2,"Not",1,"Front",10,18
"603",610,"Male",3.19,"Very",1,"Middle",14,5
"604",611,"Male",2.7,"Not",2,"Back",2,5
"605",612,"Male",3.07,"Fairly",0,"Back",3,7
"606",613,"Male",3.47,"Not",2,"Middle",10,10
"607",614,"Female",3.81,"Very",1,"Middle",9,15
"608",615,"Male",3.33,"Not",2,"Middle",5,4
"609",616,"Female",3.65,"Not",0,"Middle",12,14
"610",617,"Female",3.64,"Very",1,"Middle",24,15
"611",618,"Male",2.7,"Not",2,"Middle",8,30
"612",619,"Male",2.91,"Not",1,"Middle",3,6
"613",620,"Female",3.5,"Fairly",4,"Middle",5,5
"614",621,"Male",2.8,"Not",1,"Back",3,6
"615",622,"Male",3.65,"Fairly",2,"Middle",14,5
"616",623,"Male",2.84,"Fairly",1,"Front",2,10
"617",624,"Female",3.08,"Very",1,"Front",5,5
"618",625,"Female",3.53,"Not",0,"Middle",4,12
"619",626,"Female",3.58,"Fairly",0,"Front",4,8
"620",627,"Male",3.45,"Fairly",2,"Middle",8,6
"621",628,"Male",2.9,"Fairly",0,"Middle",0,4
"622",629,"Male",3,"Fairly",2,"Middle",5,35
"623",630,"Male",3.85,"Not",2,"Middle",8,5
"624",631,"Female",3.1,"Not",0,"Front",3,35
"625",632,"Male",3.17,"Not",2,"Middle",13,8
"626",633,"Male",3.1,"Very",6,"Middle",4,30
"627",634,"Male",3.53,"Fairly",0,"Middle",11,18
"628",635,"Male",2.8,"Not",0,"Middle",5,8
"629",636,"Female",3.88,"Very",0,"Front",4,15
"630",637,"Male",2.7,"Fairly",0,"Middle",15,6
"631",638,"Male",2.1,"Fairly",2,"Middle",12,15
"632",639,"Female",3.83,"Not",3,"Back",8,12
"633",640,"Female",3.1,"Fairly",1,"Middle",9,9
"634",641,"Male",3.07,"Fairly",0,"Middle",8,15
"635",642,"Female",3.84,"Fairly",0,"Middle",5,20
"636",643,"Female",3.25,"Not",4,"Middle",12,6
"637",644,"Male",3.4,"Very",1,"Middle",15,10
"638",645,"Male",3.4,"Fairly",2,"Middle",12,12
"639",646,"Male",3.55,"Not",0,"Middle",4,10
"640",647,"Female",3.8,"Very",0,"Front",0,14
"641",648,"Female",3.64,"Very",0,"Front",5,25
"642",649,"Male",3.6,"Not",1,"Middle",10,7
"643",650,"Male",3.1,"Fairly",1,"Middle",10,10
"644",651,"Male",3.68,"Fairly",1,"Middle",3,10
"645",652,"Male",2.85,"Fairly",0,"Middle",20,14
"646",653,"Male",2.95,"Not",1,"Back",2,5
"647",654,"Female",3.2,"Not",2,"Front",15,7
"648",655,"Male",3.3,"Not",1,"Middle",16,10
"649",656,"Female",3.18,"Fairly",1,"Middle",17,7
"650",657,"Male",3.5,"Very",1,"Middle",9,6
"651",658,"Male",3.44,"Not",0,"Front",0,5
"652",659,"Female",2.48,"Fairly",2,"Back",7,10
"653",660,"Female",3.3,"Fairly",3,"Back",15,10
"654",661,"Female",3.17,"Very",3,"Back",12,9
"655",662,"Male",2.7,"Fairly",0,"Middle",8,20
"656",663,"Female",2.99,"Not",0,"Back",3,20
"657",664,"Male",3.04,"Fairly",0,"Front",0,7
"658",665,"Female",3,"Fairly",0,"Middle",9,10
"659",666,"Male",3.4,"Very",0,"Back",12,22
"660",667,"Male",3,"Very",0,"Front",4,48
"661",668,"Male",2.96,"Not",1,"Back",8,8
"662",669,"Female",3.13,"Very",2,"Middle",5,30
"663",670,"Male",2.99,"Fairly",1,"Middle",14,20
"664",671,"Female",3.69,"Very",2,"Middle",0,55
"665",672,"Female",2.9,"Not",2,"Back",15,5
"666",673,"Female",3.4,"Not",2,"Back",15,2
"667",674,"Male",3.6,"Fairly",0,"Front",5,5
"668",675,"Male",3.25,"Fairly",0,"Front",4,8
"669",676,"Female",3.7,"Not",0,"Middle",1,10
"670",677,"Female",3.6,"Not",0,"Front",14,10
"671",678,"Male",2.98,"Fairly",2,"Front",9,12
"672",679,"Male",2.65,"Not",1,"Back",3,2
"673",680,"Male",3.08,"Not",0,"Middle",4,10
"674",681,"Female",3.54,"Very",1,"Front",4,15
"675",682,"Male",3.3,"Not",1,"Front",6,6
"676",683,"Male",3.75,"Fairly",1,"Front",4,18
"677",684,"Female",2,"Very",1,"Middle",8,15
"678",685,"Female",2.83,"Not",1,"Middle",5,5
"679",686,"Male",2.9,"Not",1,"Middle",4,6
"680",687,"Female",3.53,"Not",0,"Middle",2,10
"681",688,"Female",2.77,"Fairly",0,"Middle",3,10
"682",689,"Female",2.91,"Fairly",3,"Front",6,25
"683",690,"Male",2.5,"Fairly",0,"Middle",9,6
